id,SUBURB,BOX-CODE,STR-CODE,AREA
1,AALWYNFLEUR,,6670,RIVERSDALE
2,AANDRUS,,9301,BLOEMFONTEIN
3,ABAPHEHLI,4126,,DOONSIDE
4,ABBOTSDALE,,7300,MALMESBURY
5,ABBOTSFORD,,2192,JOHANNESBURG
6,ABBOTSFORD,5210,5241,EAST LONDON
7,ABBOTSPOORT,608,,POTGIETERSRUS
8,ABC,,6242,KWANOBUHLE
9,ABEL,884,,POLOKWANE
10,ABERDEEN,6270,6270,ABERDEEN
11,ABERDEEN TSP,,6270,ABERDEEN
12,ABERDEEN DGD,,6270,ABERDEEN
13,ACACIAVILLE,3370,3370,LADYSMITH
14,ACKERVILLE,1039,1039,WITBANK
15,ACORN,,3610,PINETOWN
16,ACORNHOEK,1360,1360,NELSPRUIT
17,ACTIVIA PARK,,1429,GERMISTON
18,ACTON CABA,5401,,TSOMO
19,ACTON HOMES,3352,,BERGVILLE
20,ACTONVILLE,1506,1501,BENONI
21,ACTONVILLE EXT 2,,1501,BENONI
22,ACTONVILLE UIT 2,,1501,BENONI
23,ACTONVILLE EXT 3,,1501,BENONI
24,ACTONVILLE UIT 3,,1501,BENONI
25,ACTONVILLE EXT 4,,1501,BENONI
26,ACTONVILLE UIT 4,,1501,BENONI
27,ACTONVILLE EXT 5,,1501,BENONI
28,ACTONVILLE UIT 5,,1501,BENONI
29,ACTONVILLE EXT 6,1506,1501,BENONI
30,ACTONVILLE UIT 6,1506,1501,BENONI
31,ADAMAYVIEW,,2571,KLERKSDORP
32,ADAMS MISSION,4100,4110,AMANZIMTOTI
33,ADCOCK VALE,,6001,PORT ELIZABETH
34,ADCOCK VALE EXT,,6045,NEWTON PARK
35,ADCOCK VALE UIT,,6045,NEWTON PARK
36,ADDINGTON,,4001,DURBAN
37,ADDNEY,712,,POLOKWANE
38,ADDO,6105,6105,ADDO
39,ADELAIDE,5760,5760,ADELAIDE
40,ADENDORP,6282,6282,ADENDORP
41,ADKIN'S POST,5170,,TSOLO
42,ADMINISTRATION BLOCK,,1431,KATLEHONG
43,ADMINISTRASIE BLOK,,1431,KATLEHONG
44,ADMIRALS HILL,,7798,STRANDFONTEIN
45,ADRIAANSE,,7490,MATROOSFONTEIN
46,ADVENT,5092,5092,MOUNT FRERE
47,AERORAND,1070,1055,MIDDELBURG
48,AEROTON,2013,2190,JOHANNESBURG
49,AEROVILLE,,5850,SOMERSET EAST
50,AFGHANISTAN EXT 25,2280,2280,EVANDER
51,AFGHANISTAN UIT 25,2280,2280,EVANDER
52,AFGUNS,534,534,ELLISRAS
53,AFRICA,4310,4309,INANDA
54,AFRICAN ENTERPRISE,3294,,PIETERMARITZBURG
55,AGAVIA,,1739,KRUGERSDORP
56,AGGENEYS,8893,,SPRINGBOK
57,AGINCOURT,1368,,XIMHUNGWE
58,AGISANANG,2760,2760,SANNIESHOF
59,AGNES REST,5435,,DORDRECHT
60,AGTER-PAARL,7630,,PAARL
61,AGULHAS,7287,,BREDASDORP
62,AIKEN STREET,4251,,PORT SHEPSTONE
63,AIKENSTRAAT,4251,,PORT SHEPSTONE
64,AIRDLIN,2157,,JOHANNESBURG
65,AIRFIELD,,1501,BENONI
66,AIRLIE,,7806,CONSTANTIA
67,AIRPORT CITY,,7490,MATROOSFONTEIN
68,LUGHAWE STAD,,7490,MATROOSFONTEIN
69,AIRPORT INDUSTRIA,,7490,MATROOSFONTEIN
70,LUGHAWE INDUSTRIA,,7490,MATROOSFONTEIN
71,AKASIA,,601,POTGIETERSRUS
72,AKASIA EXT 2,,182,PRETORIA
73,AKASIA UIT 2,,182,PRETORIA
74,AKASIA PARK,,8660,KEIMOES
75,AKASIAPARK,,8660,KEIMOES
76,AKASIAPARK,,7460,GOODWOOD
77,AKASIE PARK,2520,,POTCHEFSTROOM
78,ALABAMA,2577,2577,KLERKSDORP
79,ALABAMA EXT 2,2577,2577,KLERKSDORP
80,ALABAMA UIT 2,2577,2577,KLERKSDORP
81,ALABAMA EXT 3,2577,2577,KLERKSDORP
82,ALABAMA UIT 3,2577,2577,KLERKSDORP
83,ALAN MANOR,,2091,JOHANNESBURG
84,ALAN MANOR EXT 2,,2091,JOHANNESBURG
85,ALAN MANOR UIT 2,,2091,JOHANNESBURG
86,ALASKA,,122,MAMELODI
87,ALBANY,,3610,PINETOWN
88,ALBEMARLE,1410,1401,GERMISTON
89,ALBEMARLE EXT 1,,1401,GERMISTON
90,ALBEMARLE UIT 1,,1401,GERMISTON
91,ALBEMARLE EXT 2,,1401,GERMISTON
92,ALBEMARLE UIT 2,,1401,GERMISTON
93,ALBERANTE,,1449,ALBERTON
94,ALBERANTE EXT 1,,1449,ALBERTON
95,ALBERANTE UIT 1,,1449,ALBERTON
96,ALBERT LUTHULI,9323,,BLOEMFONTEIN
97,ALBERTINIA,6695,6695,ALBERTINIA
98,ALBERTON,1450,1449,JOHANNESBURG
99,ALBERTON EXT 28,,1449,ALBERTON
100,ALBERTON UIT 28,,1449,ALBERTON
101,ALBERTON NORTH,1456,1449,ALBERTON
102,ALBERTON-NOORD,1456,1449,ALBERTON
103,ALBERTSDAL,1448,1448,ALBERTON
104,ALBERTSDAL EXT 17,,1448,ALBERTON
105,ALBERTSDAL UIT 17,,1448,ALBERTON
106,ALBERTSDAL EXT 18,,1448,ALBERTON
107,ALBERTSDAL UIT 18,,1448,ALBERTON
108,ALBERTSDAL EXT 6,,1448,ALBERTON
109,ALBERTSDAL UIT 6,,1448,ALBERTON
110,ALBERTSDAL EXT 8,,1448,ALBERTON
111,ALBERTSDAL UIT 8,,1448,ALBERTON
112,ALBERTSKROON,,2195,JOHANNESBURG
113,ALBERTSVILLE,4240,4240,PORT SHEPSTONE
114,ALBERTSVILLE,,2195,JOHANNESBURG
115,ALBERTYNSHOF,,8301,KIMBERLEY
116,ALBION VILLAGE,,2245,VANDYKSDRIFT
117,ALBOWVILLE,,7405,RUGBY
118,ALDARAPARK,,2194,JOHANNESBURG
119,ALDERLEY,5070,,ELLIOTDALE
120,ALEXANDER BAY,8290,,ALEXANDER BAY
121,ALEXANDERBAAI,8290,,ALEXANDER BAY
122,ALEXANDER PARK,,3610,PINETOWN
123,ALEXANDER PARK INDUSTRIAL,,6229,UITENHAGE
124,ALEXANDERPARK INDUSTRIE,,6229,UITENHAGE
125,ALEXANDRA,2014,2090,JOHANNESBURG
126,ALEXANDRA EAST,2077,,BRYANSTON
127,ALEXANDRA-OOS,2077,,BRYANSTON
128,ALEXANDRA EXT 1,,2090,JOHANNESBURG
129,ALEXANDRA UIT 1,,2090,JOHANNESBURG
130,ALEXANDRA EXT 10,2014,2090,JOHANNESBURG
131,ALEXANDRA UIT 10,2014,2090,JOHANNESBURG
132,ALEXANDRA EXT 15,2014,2090,JOHANNESBURG
133,ALEXANDRA UIT 15,2014,2090,JOHANNESBURG
134,ALEXANDRA EXT 2,,2090,JOHANNESBURG
135,ALEXANDRA UIT 2,,2090,JOHANNESBURG
136,ALEXANDRA EXT 3,2090,2090,JOHANNESBURG
137,ALEXANDRA UIT 3,2090,2090,JOHANNESBURG
138,ALEXANDRA EXT 5,,2090,JOHANNESBURG
139,ALEXANDRA UIT 5,,2090,JOHANNESBURG
140,ALEXANDRA EXT 7,,2090,JOHANNESBURG
141,ALEXANDRA UIT 7,,2090,JOHANNESBURG
142,ALEXANDRA EXT 8,,2090,JOHANNESBURG
143,ALEXANDRA UIT 8,,2090,JOHANNESBURG
144,ALEXANDRA EXT 9,2077,2090,JOHANNESBURG
145,ALEXANDRA UIT 9,2077,2090,JOHANNESBURG
146,ALEXANDRA PHASE 10,2014,2090,JOHANNESBURG
147,ALEXANDRA FASE 10,2014,2090,JOHANNESBURG
148,ALEXANDRA PHASE 2,2090,2090,JOHANNESBURG
149,ALEXANDRA FASE 2,2090,2090,JOHANNESBURG
150,ALEXANDRA SOUTH,2073,,BRAMLEY
151,ALEXANDRA SUID,2073,,BRAMLEY
152,ALEXANDRIA,6185,6185,ALEXANDRIA
153,ALGOA PARK,6005,6001,PORT ELIZABETH
154,ALGOAPARK,6005,6001,PORT ELIZABETH
155,ALICE,5700,5700,ALICE
156,ALICE EXT 8,,5700,ALICE
157,ALICE UIT 8,,5700,ALICE
158,ALICEDALE,6135,6135,ALICEDALE
159,ALICEDALE EST,,7764,ATHLONE
160,ALICEDALE LGD,,7764,ATHLONE
161,ALIWAL NORTH,9750,9750,ALIWAL NORTH
162,ALIWAL-NOORD,9750,9750,ALIWAL NORTH
163,ALKANTRANT,5,81,PRETORIA
164,ALL SAINTS,5052,5052,ENGCOBO
165,ALLANDALE,1685,1685,HALFWAY HOUSE
166,ALLANDALE,,3201,PIETERMARITZBURG
167,ALLANDALE HEIGHTS,,3201,PIETERMARITZBURG
168,ALLANDALE HOOGTE,,3201,PIETERMARITZBURG
169,ALLANRIDGE,9490,9490,ALLANRIDGE
170,ALLANRIDGE,,6241,GAMBLEVILLE
171,ALLANRIDGE WEST,,6229,UITENHAGE
172,ALLANRIDGE-WES,,6229,UITENHAGE
173,ALLDAYS,909,909,LOUIS TRICHARDT
174,ALLEN GROVE,,1619,KEMPTON PARK
175,ALLEN GROVE EXT 1,,1619,KEMPTON PARK
176,ALLEN GROVE UIT 1,,1619,KEMPTON PARK
177,ALLEN GROVE EXT 2,,1619,KEMPTON PARK
178,ALLEN GROVE UIT 2,,1619,KEMPTON PARK
179,ALLEN GROVE EXT 4,,1619,KEMPTON PARK
180,ALLEN GROVE UIT 4,,1619,KEMPTON PARK
181,ALLEN RISE,,4037,MARBLE RAY
182,ALLEN'S NEK,1737,1709,FLORIDA
183,ALLEN'S NEK EXT 1,1737,1709,ALLEN'S NEK
184,ALLEN'S NEK UIT 1,1737,1709,ALLEN'S NEK
185,ALLEN'S NEK EXT 2,1737,1709,ALLEN'S NEK
186,ALLEN'S NEK UIT 2,1737,1709,ALLEN'S NEK
187,ALLEN'S NEK EXT 27,1737,1709,ALLEN'S NEK
188,ALLEN'S NEK UIT 27,1737,1709,ALLEN'S NEK
189,ALLEN'S NEK EXT 3,1737,1709,ALLEN'S NEK
190,ALLEN'S NEK UIT 3,1737,1709,ALLEN'S NEK
191,ALLEN'S NEK EXT 36,1737,1709,ALLEN'S NEK
192,ALLEN'S NEK UIT 36,1737,1709,ALLEN'S NEK
193,ALLEN'S NEK EXT 4,1737,1709,ALLEN'S NEK
194,ALLEN'S NEK UIT 4,1737,1709,ALLEN'S NEK
195,ALLEN'S NEK EXT 9,1737,1709,ALLEN'S NEK
196,ALLEN'S NEK UIT 9,1737,1709,ALLEN'S NEK
197,ALLENBY EST,,7945,RETREAT
198,ALLENBY LGD,,7945,RETREAT
199,ALMA,512,,NYLSTROOM
200,ALOE RIDGE,1150,1150,BURGERSFORT
201,ALOERIDGE,,6670,RIVERSDALE
202,ALOEVALE,,5319,QUEENSTOWN
203,ALPHEN EST,,7806,CONSTANTIA
204,ALPHEN LGD,,7806,CONSTANTIA
205,ALPHEN PARK,,81,MENLO PARK
206,ALPHEN PARK,,1501,BENONI
207,ALPHENDALE,,5209,EAST LONDON
208,ALPHENPARK,,81,MENLO PARK
209,ALPHINE PARK,,7785,MITCHELLS PLAIN
210,ALRA PARK,1495,1491,NIGEL
211,ALRAPARK,1495,1491,NIGEL
212,ALRAPARK EXT 1,,1491,NIGEL
213,ALRAPARK UIT 1,,1491,NIGEL
214,ALRAPARK EXT 2,,1491,NIGEL
215,ALRAPARK UIT 2,,1491,NIGEL
216,ALRIDGE WEST,1150,1150,BURGERSFORT
217,ALRODE,1451,1451,ALBERTON
218,ALRODE EXT 2,1451,,ALRODE
219,ALRODE UIT 2,1451,,ALRODE
220,ALRODE SOUTH,1451,1448,ALRODE
221,ALRODE SOUTH EXT 3,1421,1448,ALRODE
222,ALRODE-SUID UIT 3,1421,1448,ALRODE
223,ALTON,3900,,RICHARDS BAY
224,ALTON INDUSTRIAL,3900,,RICHARDS BAY
225,ALTON INDUSTRIEEL,3900,,RICHARDS BAY
226,ALUNSA,1785,,WESTONARIA
227,ALVEDA PARK EXT 2,,2091,JOHANNESBURG
228,ALVEDAPARK UIT 2,,2091,JOHANNESBURG
229,ALVERSTONE,,3610,PINETOWN
230,AMABELE,4931,4931,KING WILLIAM'S TOWN
231,AMAJUBA,3385,2940,NEWCASTLE
232,AMAJUBA PARK,2955,2940,NEWCASTLE
233,AMALGAM,,2092,JOHANNESBURG
234,AMALIA,2786,2786,SCHWEIZER-RENEKE
235,AMALINDA,5252,5247,EAST LONDON
236,AMANDAGLEN,,7550,DURBANVILLE
237,AMANDASIG,118,182,KARENPARK
238,AMANDASIG EXT 1,118,182,KARENPARK
239,AMANDASIG UIT 1,118,182,KARENPARK
240,AMANDASIG EXT 10,118,182,KARENPARK
241,AMANDASIG UIT 10,118,182,KARENPARK
242,AMANDASIG EXT 2,118,182,KARENPARK
243,AMANDASIG UIT 2,118,182,KARENPARK
244,AMANDASIG EXT 23,,182,KARENPARK
245,AMANDASIG UIT 23,,182,KARENPARK
246,AMANDASIG EXT 24,,182,KARENPARK
247,AMANDASIG UIT 24,,182,KARENPARK
248,AMANDASIG EXT 25,,182,KARENPARK
249,AMANDASIG UIT 25,,182,KARENPARK
250,AMANDASIG EXT 5,118,182,KARENPARK
251,AMANDASIG UIT 5,118,182,KARENPARK
252,AMANDASIG EXT 51,118,182,KARENPARK
253,AMANDASIG UIT 51,118,182,KARENPARK
254,AMANDASIG EXT 7,,182,KARENPARK
255,AMANDASIG UIT 7,,182,KARENPARK
256,AMANDASIG EXT 8,118,182,KARENPARK
257,AMANDASIG UIT 8,118,182,KARENPARK
258,AMANDAWE,4172,4180,SCOTTBURGH
259,AMANDELBULT,362,362,CHROMITE
260,AMANDELRUG,,7580,KUILS RIVER
261,AMANDELSIG,,7580,KUILS RIVER
262,AMANYATI,4820,,LUSIKISIKI
263,AMANZIMNYAMA,3855,,NKANDLA
264,AMANZIMTOTI,4125,4126,DURBAN
265,AMANZIMYAMA,,4399,TONGAAT
266,AMAOTI,4080,4309,PHOENIX
267,AMATHOLE BASIN,5711,,ALICE
268,AMATHOLE VALLEY,5616,5616,ALICE
269,AMATHOLE VALLEI,5616,5616,ALICE
270,AMATIKULU,3801,3801,GINGINDLOVU
271,AMATIKWE,4310,4309,INANDA
272,AMATOLA VIEW,,5605,AMATOLA VIEW
273,AMATOLAVILLE,,4930,AMATOLEVILLE
274,AMATOLEVILLE,,4930,AMATOLEVILLE
275,AMATOLE BASIN,,5605,BHISHO
276,AMAWOTANA,4344,,VERULAM
277,AMBERFIELD GLEN,,149,CENTURION
278,AMBERFIELD RIDGE,46,157,CENTURION
279,AMBERFIELDRIF,46,157,CENTURION
280,AMBERGATE,780,,POLOKWANE
281,AMBERVILLE,,157,CENTURION
282,AMERSFOORT,2490,2490,AMERSFOORT
283,AMERVILLE,,6960,FRASERBURG
284,AMOROSA,1725,1724,ROODEPOORT
285,AMSTELHOF,,7646,PAARL
286,AMSTERDAM,2375,2375,ERMELO
287,AMSTERDAMHOEK,,6210,SWARTKOPS
288,ANCHORAGE,4960,,BUTTERWORTH
289,ANCHORAGE PARK,,7140,GORDON'S BAY
290,ANCHORVILLE,1829,1827,LENASIA
291,ANDALUSIA PARK,8550,8550,JAN KEMPDORP
292,ANDALUSIAPARK,8550,8550,JAN KEMPDORP
293,ANDE,5090,,MOUNT FRERE
294,ANDEON,,183,PRETORIA
295,ANDEON AH,,183,PRETORIA
296,ANDEON EXT 1,,183,PRETORIA
297,ANDEON UIT 1,,183,PRETORIA
298,ANDEON EXT 2,,183,PRETORIA
299,ANDEON UIT 2,,183,PRETORIA
300,ANDEON EXT 3,,183,PRETORIA
301,ANDEON UIT 3,,183,PRETORIA
302,ANDEON EXT 4,,183,PRETORIA
303,ANDEON UIT 4,,183,PRETORIA
304,ANDEON EXT 5,,183,PRETORIA
305,ANDEON UIT 5,,183,PRETORIA
306,ANDEON EXT 6,,183,PRETORIA
307,ANDEON UIT 6,,183,PRETORIA
308,ANDERBOLT,,1459,BOKSBURG
309,ANDERSONVILLE,,6529,GEORGE
310,ANDERWORD,,1911,VANDERBIJLPARK
311,ANERLEY,4230,,ANERLEY
312,ANGOLA,4148,,UMLAZI
313,ANNADALE,,699,POLOKWANE
314,ANNANDALE,,7580,KUILSRIVIER
315,ANNANDALE,3080,,DANNHAUSER
316,ANNANDALE VILLAGE,,7441,MILNERTON
317,ANNATY BANK,,7945,TOKAI
318,ANNEX PARK,1402,,GERMISTON
319,ANNIEVILLE,3080,,DANNHAUSER
320,ANNLIN,66,182,PRETORIA NORTH
321,ANNLIN EXT,,182,PRETORIA NORTH
322,ANNLIN UIT,,182,PRETORIA NORTH
323,ANNLIN EXT 1,,182,PRETORIA NORTH
324,ANNLIN UIT 1,,182,PRETORIA NORTH
325,ANNLIN EXT 107,,182,PRETORIA NORTH
326,ANNLIN UIT 107,,182,PRETORIA NORTH
327,ANNLIN EXT 110,,182,PRETORIA NORTH
328,ANNLIN UIT 110,,182,PRETORIA NORTH
329,ANNLIN EXT 112,129,182,PRETORIA NORTH
330,ANNLIN UIT 112,129,182,PRETORIA NORTH
331,ANNLIN EXT 13,,182,PRETORIA NORTH
332,ANNLIN UIT 13,,182,PRETORIA NORTH
333,ANNLIN EXT 15,,182,PRETORIA NORTH
334,ANNLIN UIT 15,,182,PRETORIA NORTH
335,ANNLIN EXT 18,,182,PRETORIA NORTH
336,ANNLIN UIT 18,,182,PRETORIA NORTH
337,ANNLIN EXT 19,,182,PRETORIA NORTH
338,ANNLIN UIT 19,,182,PRETORIA NORTH
339,ANNLIN EXT 2,,182,PRETORIA NORTH
340,ANNLIN UIT 2,,182,PRETORIA NORTH
341,ANNLIN EXT 3,,182,PRETORIA NORTH
342,ANNLIN UIT 3,,182,PRETORIA NORTH
343,ANNLIN EXT 32,,182,PRETORIA NORTH
344,ANNLIN UIT 32,,182,PRETORIA NORTH
345,ANNLIN EXT 33,,182,PRETORIA NORTH
346,ANNLIN UIT 33,,182,PRETORIA NORTH
347,ANNLIN EXT 34,66,182,PRETORIA NORTH
348,ANNLIN UIT 34,66,182,PRETORIA NORTH
349,ANNLIN EXT 35,,182,PRETORIA NORTH
350,ANNLIN UIT 35,,182,PRETORIA NORTH
351,ANNLIN EXT 36,,182,PRETORIA NORTH
352,ANNLIN UIT 36,,182,PRETORIA NORTH
353,ANNLIN EXT 37,,182,PRETORIA NORTH
354,ANNLIN UIT 37,,182,PRETORIA NORTH
355,ANNLIN EXT 4,,182,PRETORIA NORTH
356,ANNLIN UIT 4,,182,PRETORIA NORTH
357,ANNLIN EXT 5,,182,PRETORIA NORTH
358,ANNLIN UIT 5,,182,PRETORIA NORTH
359,ANNLIN EXT 52,129,182,PRETORIA NORTH
360,ANNLIN UIT 52,129,182,PRETORIA NORTH
361,ANNLIN EXT 54,129,182,PRETORIA NORTH
362,ANNLIN UIT 54,129,182,PRETORIA NORTH
363,ANNLIN EXT 6,,182,PRETORIA NORTH
364,ANNLIN UIT 6,,182,PRETORIA NORTH
365,ANNLIN EXT 7,,182,PRETORIA NORTH
366,ANNLIN UIT 7,,182,PRETORIA NORTH
367,ANNLIN EXT 8,,182,PRETORIA NORTH
368,ANNLIN UIT 8,,182,PRETORIA NORTH
369,ANSFRERE,1711,1709,FLORIDA
370,ANTROBUS,,900,MESSINA
371,ANZAC,,1541,BRAKPAN
372,ANZAC EXT 1,1540,1541,BRAKPAN
373,ANZAC UIT 1,1540,1541,BRAKPAN
374,ANZAC EXT 2,1540,1541,BRAKPAN
375,ANZAC UIT 2,1540,1541,BRAKPAN
376,APEL,739,,POLOKWANE
377,APEX CAFE,1519,,DAVEYTON
378,APEX KAFEE,1519,,DAVEYTON
379,APEX EXT 3,,1501,BENONI
380,APEX UIT 3,,1501,BENONI
381,APEX EXT 4,1519,1501,BENONI
382,APEX UIT 4,1519,1501,BENONI
383,APEX INDUSTRIAL,1540,,BRAKPAN
384,APEX INDUSTRIEEL,1540,,BRAKPAN
385,APPLE ORCHARDS SIHS,1876,,WALKERVILLE
386,APPLE ORCHARDS KHW,1876,,WALKERVILLE
387,APPLE PARK,,1739,KRUGERSDORP
388,AQUADEN CENTRE,3900,3900,RICHARDS BAY
389,AQUADEN SENTRUM,3900,3900,RICHARDS BAY
390,AQUADENE,3900,3900,RICHARDS BAY
391,AQUAPARK,850,850,TZANEEN
392,AQUAVILLE,6120,,KIRKWOOD
393,ARABIEDAM,464,464,MARBLE HALL
394,ARAUNA,,7560,BRACKENFELL
395,ARBEX,3904,,RICHARDS BAY
396,ARBOR PARK,2954,,NEWCASTLE
397,ARBORETUM,9305,9301,BLOEMFONTEIN
398,ARBORETUM,3900,3900,RICHARDS BAY
399,ARBORETUM EXT,3900,3900,RICHARDS BAY
400,ARBORETUM UIT,3900,3900,RICHARDS BAY
401,ARBORETUM EXT 11,3900,3900,RICHARDS BAY
402,ARBORETUM UIT 11,3900,3900,RICHARDS BAY
403,ARBORETUM EXT 7,,3900,RICHARDS BAY
404,ARBORETUM UIT 7,,3900,RICHARDS BAY
405,ARBORPARK,850,850,TZANEEN
406,ARCADIA,,6059,PORT ELIZABETH
407,ARCADIA,7,83,PRETORIA
408,ARCADIA,,6300,HUMANSDORP
409,ARCADIA,,5201,EAST LONDON
410,ARCADIA CENTRE,,7570,KRAAIFONTEIN
411,ARCADIA SENTRUM,,7570,KRAAIFONTEIN
412,ARCON PARK,1937,1939,VEREENIGING
413,ARCON PARK EXT 1,,1939,VEREENIGING
414,ARCON PARK UIT 1,,1939,VEREENIGING
415,ARDLEIGH PARK,,7945,RETREAT
416,AREA AL,,7785,MITCHELLS PLAIN
417,AREA SST,,7784,KHAYELITSHA
418,AREEN,,2745,MAFIKENG
419,ARENA,,8345,MANKURWANE
420,ARENA PARK,,4092,CHATSWORTH
421,ARENDSDALE,7353,7353,ATLANTIS
422,ARGYLE,,2001,JOHANNESBURG
423,ARLINGTON,9602,9602,ARLINGTON
424,ARMADALE,2013,2190,JOHANNESBURG
425,ARNISTON,7280,,BREDASDORP
426,ARNOLDTON,,5247,EAST LONDON
427,ARNOT,1051,,MIDDELBURG
428,ARNOT COLLIERY,1097,,WITBANK
429,ASANDA VILLAGE,,7140,STRAND
430,ASANDE,3227,,IMPENDLE
431,ASCOT VILLAGE,,7780,LANSDOWNE
432,ASHBURNHAM,,8301,KIMBERLEY
433,ASHBURTON,3213,3201,PIETERMARITZBURG
434,ASHBURY,,6720,MONTAGU
435,ASHDOWN,3216,3201,PIETERMARITZBURG
436,ASHDOWN MCP,3204,,EDENDALE
437,ASHERVILLE,,6281,GRAAFF-REINET
438,ASHERVILLE,,4091,DURBAN
439,ASHLEA GARDENS,,81,MENLO PARK
440,ASHLEA TUINE,,81,MENLO PARK
441,ASHLEY,,3610,PINETOWN
442,ASHTON,6715,6715,ROBERTSON
443,ASHWOOD,3605,,PINETOWN
444,ASIATIC BAZAAR,,183,PRETORIA WEST
445,ASIATIC EXT,1300,1300,BARBERTON
446,ASIATIC UIT,1300,1300,BARBERTON
447,ASIATIC EXT 1,1300,1300,BARBERTON
448,ASIATIC UIT 1,1300,1300,BARBERTON
449,ASKEATON,5413,,ASKEATON
450,ASKHAM,8814,8814,UPINGTON
451,ASKRAAL,6667,,CALITZDORP
452,ASLA PARK,,6506,MOSSEL BAY
453,ASOKA HEIGHTS,,4200,UMZINTO
454,ASOKAHOOGTE,,4200,UMZINTO
455,ASPEN HEIGHTS,,6059,PORT ELIZABETH
456,ASPEN HOOGTE,,6059,PORT ELIZABETH
457,ASPEN HILL EXT 1,,2190,MULBARTON
458,ASPEN HILL UIT 1,,2190,MULBARTON
459,ASPEN HILLS,,2059,JOHANNESBURG
460,ASPENHEUWELS,,2059,JOHANNESBURG
461,ASSAGAY,3624,3610,HILLCREST
462,ASSEGAI,3624,3610,HILLCREST
463,ASTON BAY,6332,6332,JEFFREYS BAY
464,ASTONBAAI,6332,6332,JEFFREYS BAY
465,ASTON MANOR,1630,1619,KEMPTON PARK
466,ATAMELANG,2732,2732,VRISCHGEWAAGT
467,ATHENA GARDENS,,4037,DURBAN
468,ATHENA TUINE,,4037,DURBAN
469,ATHLONE,7760,7764,CAPE TOWN
470,ATHLONE,,4051,DURBAN NORTH
471,ATHLONE,,3201,PIETERMARITZBURG
472,ATHLONE INDUSTRIA 1,,7764,CAPE TOWN
473,ATHLONE INDUSTRIA 2,,7764,CAPE TOWN
474,ATHLONE PARK,,4126,AMANZIMTOTI
475,ATHOLHURST,,2196,JOHANNESBURG
476,ATHOLHURST EXT 1,,2196,JOHANNESBURG
477,ATHOLHURST UIT 1,,2196,JOHANNESBURG
478,ATHOLL,2031,2196,JOHANNESBURG
479,ATHOLL EXT 10,2031,2196,JOHANNESBURG
480,ATHOLL UIT 10,2031,2196,JOHANNESBURG
481,ATHOLL EXT 11,2031,2196,JOHANNESBURG
482,ATHOLL UIT 11,2031,2196,JOHANNESBURG
483,ATHOLL EXT 12,2031,2196,JOHANNESBURG
484,ATHOLL UIT 12,2031,2196,JOHANNESBURG
485,ATHOLL EXT 15,2031,2196,JOHANNESBURG
486,ATHOLL UIT 15,2031,2196,JOHANNESBURG
487,ATHOLL EXT 17,2031,2196,JOHANNESBURG
488,ATHOLL UIT 17,2031,2196,JOHANNESBURG
489,ATHOLL EXT 18,2031,2196,JOHANNESBURG
490,ATHOLL UIT 18,2031,2196,JOHANNESBURG
491,ATHOLL EXT 2,2031,2196,JOHANNESBURG
492,ATHOLL UIT 2,2031,2196,JOHANNESBURG
493,ATHOLL EXT 20,2031,2196,JOHANNESBURG
494,ATHOLL UIT 20,2031,2196,JOHANNESBURG
495,ATHOLL EXT 23,2031,2196,JOHANNESBURG
496,ATHOLL UIT 23,2031,2196,JOHANNESBURG
497,ATHOLL EXT 24,2031,2196,JOHANNESBURG
498,ATHOLL UIT 24,2031,2196,JOHANNESBURG
499,ATHOLL EXT 34,2031,2196,JOHANNESBURG
500,ATHOLL UIT 34,2031,2196,JOHANNESBURG
501,ATHOLL EXT 36,2031,2196,JOHANNESBURG
502,ATHOLL UIT 36,2031,2196,JOHANNESBURG
503,ATHOLL EXT 4,2031,2196,JOHANNESBURG
504,ATHOLL UIT 4,2031,2196,JOHANNESBURG
505,ATHOLL EXT 5,2031,2196,JOHANNESBURG
506,ATHOLL UIT 5,2031,2196,JOHANNESBURG
507,ATHOLL EXT 6,2031,2196,JOHANNESBURG
508,ATHOLL UIT 6,2031,2196,JOHANNESBURG
509,ATHOLL EXT 7,2031,2196,JOHANNESBURG
510,ATHOLL UIT 7,2031,2196,JOHANNESBURG
511,ATHOLL EXT 9,2031,2196,JOHANNESBURG
512,ATHOLL UIT 9,2031,2196,JOHANNESBURG
513,ATHOLL GARDENS,,2196,JOHANNESBURG
514,ATHOLL TUINES,,2196,JOHANNESBURG
515,ATHOLL HEIGHTS,,3629,WESTVILLE
516,ATHOLL HOOGTE,,3629,WESTVILLE
517,ATHOLTON,4301,,MOUNT EDGECOMBE
518,ATLANTA,267,,BRITS
519,ATLANTA,,5880,CRADOCK
520,ATLANTIC BEACH,,7441,MILNERTON
521,ATLANTIC STRAND,,7441,MILNERTON
522,ATLANTIC GOLF ESTATE,,7441,MILNERTON
523,ATLANTIC GOLF LANDGOED,,7441,MILNERTON
524,ATLANTIS,,7349,DASSENBERG
525,ATLANTIS EXT 12,,7349,DASSENBERG
526,ATLANTIS UIT 12,,7349,DASSENBERG
527,ATLANTIS EXT 13,,7349,DASSENBERG
528,ATLANTIS UIT 13,,7349,DASSENBERG
529,ATLASPARK,1465,1459,BENONI
530,ATLASVILLE,1465,1501,BOKSBURG
531,ATLASVILLE EXT 1,,1459,BOKSBURG
532,ATLASVILLE UIT 1,,1459,BOKSBURG
